Reference,Prediction,WER
"यह शहर, अफ़्रीका के कुछ सबसे सस्ते पहाड़ी गोरिल्ला ट्रेकिंग के साथ ही नायरागोंगो ज्वालामुखी की चढ़ाई करने का बेस भी है.",योशर अफ्रीका के कुछ सबसे सस्ते पहाड़ी गुरिला ट्रेकिंग के साथ ही नारा वुंगो जौाला मुखी की चढ़ाई करने का बेज भी है,0.45454545454545453
"29 वर्षीय डॉ. मलार बालासुब्रमण्यम सिनसिनाटी के उत्तर में लगभग 15 मील की दूरी पर एक उपनगर ब्लू ऐश, ओहियो में मिले, जो एक टी-शर्ट और अंडरवियर में सड़क के किनारे बहुत अधिक नशे की हालत में जमीन पर पड़े थे।",उन्नतिस वर्सिया डॉक्टर मलाल बाला सुब्रमानियम सिंसिनाटी के उत्र में लगभक पंद्रा मील की दूरी पर एक उपनगर ब्लू एश वो हियों में मिले जो एक टीशेट और अंडर्यर में सड़क के किनारे बहुत अधिक नशे की हालत में झमीन पर पड़े थे,0.4634146341463415
"जिस समय घटनाएँ हुई उसके युग को सामान्य रूप से यूरोप के इतिहास में 11वीं, 12वीं और 13वीं सदी (AD 1000-1300) में यूरोपियन इतिहास के उच्च मध्य युग की अवधि के रूप में बताया जाता है.",जिस समय घटनाई हुई उसके योग को समाने रूप से यूरोप के इतिहास में यारवी बारवी और तेरवी सदी एडी थाउजन तू थर्टीन हंटरेड में यूरोपियान इतिहास के उच्छ मद्यवी की अबदी के रूप में बताया जाता है।,0.4722222222222222
"बाघ की दहाड़ किसी शेर की तेज़ आवाज़ वाली दहाड़ की तरह नहीं होती है, लेकिन उसकी बँधी हुई, चिल्लाने जैसी होती है.",बाग की धाहार किसी शेर की तेज आवाज वारी धाहार की तरह नहीं होती है लेकिन उसकी बंधी हुई चिल्लाने जैसे होती है,0.4782608695652174
तकनीकी निर्धारण की ज़्यादातर व्याख्याएँ दो सामान्य विचारों के बारे में बताती हैं: तकनीकी विकास पर सांस्कृतिक या राजनीतिक असर का कोई भी प्रभाव नहीं पड़ता है और परिणामस्वरूप सामाजिक रूप से अनुकूलित होने के बजाय वह तकनीक निहित समाजों को “प्रभावित” करती है.,तकनिकी निरदारन की ज्यादातर व्याख्यां दो समान ने विचारों के बारे में बताती हैं तकनिकी विकास पर सांस्किरतिक या राजनितिक असर का कोई भी प्रभाव नहीं पड़ता है और प्रियानाम सवरूप समाजिक रूप से अनुकुलित होने के बजाए वह तकनि,0.5
"इसके शुरुआती दिनों में, इस शो को केवल लंबे समय तक चलने वाली इंटरनेट रेडियो साइट TogiNet रेडियो, टॉक रेडियो पर केंद्रित एक साइट पर फ़ीचर किया गया था.",इसके सुरुवाती दिनों में इस सोग को केबल नंबे समय तक चलने बाली इंटरनेट रेडियो साइड तोगीनेट रेडियो टॉक रेडियो पर कंद्रित एक साइड पर फिच्चर क्या गया है था,0.5172413793103449
"लक्खा सिंह ने छप्पन भोग भजन भी प्रस्तुत किया। गायक, राजू खंडेलवाल उनके साथ थे।",लखा सिंग ने छपन भोग भजन भी प्रस्थूद किया गायक राजू खंडेल्वाल उनके साथ थे,0.5333333333333333
"जैसे-जैसे ग्रीक का ज्ञान घटता गया, पश्चिम ने खुद को अपनी ग्रीक दार्शनिक और वैज्ञानिक जड़ों से कटा हुआ पाया.",जैसे जैसे ग्रीक का ग्यान खटता गया पस्चिम ने खुद को अपनी ग्रीक दार्सनिक और वैग्यानिक ज़ौसे कटा हुआ पाया,0.55
जियानकार्लो फिशिचेला ने अपनी कार पर नियंत्रण खो दिया और शुरू करने के कुछ समय बाद ही दौड़ समाप्त कर दी.,जीयान कार लोग फिशी चेला ने अपनी कार पर नियंत्रन खो दिया और शुरू करने की कुछ समय बादी तो और समाप्त करती।,0.5714285714285714
हॉट चॉकलेट बेल्जियम के मानकों पर बनी है. फलों का जूस महंगा है लेकिन बहुत अच्छा है.,होट चॉकलेट बेल्जिम की मानको पर बनती है फलू का जूज मांगा है लेकिन बहुत अच्छा है,0.5882352941176471
शेर प्राइड नामक बड़े समूहों में रहने वाली सबसे बड़ी सामाजिक बिल्लियाँ हैं.,सेर प्राइड नाम के बड़ा सम्म में रहने वाली सबसे बड़ी समाजिक बिल्या है,0.6153846153846154
"हालाँकि यह अकेला नहीं है, प्रयोग करना, और प्रयोग एक ऐसा परीक्षण होता है जिसका इस्तेमाल करके एक या इससे ज़्यादा संभावित परिकल्पनाओं को ख़त्म करने, सवाल करने, और अवलोकन करने से भी वैज्ञानिक शोध को मार्गदर्शन मिलता है.",हाला कि या है अकेला नहीं है प्रेव करना और प्रेव एक ऐसा प्रिक्षान होता है जिसका इस्तिमाल करने एक या इससे ज्यादा संभावित परिकल पराव को खत्व करने के सबाल करने और आबलोकन करने से ही बैग्यानिक सुध कु मार्कदर्शन मिलता है,0.6666666666666666
"यह संबंधित है, लेकिन आम तौर पर इसमें अल्पाइन शैली की स्की टूरिंग या माउंटेनीयरिंग शामिल नहीं होती है, जिसे खड़े इलाकों में किया जाता है और जिसके लिए बहुत कड़ी स्की और बूट की ज़रूरत होती है.",जी आप संबन थी थे लेकिन आम तो उसमें अल्पाइंचरी किस्ट की टूरी वा मौफ्ट न वरींट सामर वाना होती है किसे कडोला को में किया जाता है जिसके लिए बहुत खडीस की रविप की जरूर का थी,0.7631578947368421
